,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1
2016-11-17,-0.002360228062829109,,,,-0.0003594612562050903
2016-11-18,-0.0009103409003180241,,,,-0.0011901948868712486
2016-11-21,0.0042848219810446425,,,,0.0010768610875768747
2016-11-22,0.002653924088337145,,,,-0.0020053051659311982
2016-11-23,0.004218657700441317,,,,-0.0026554438562175625
2016-11-25,0.006749734924873255,,,,-0.0016202004014284621
2016-11-28,0.009920645293246932,,,,0.00029416349604589886
2016-11-29,0.009707668737961583,,,,-0.0024450342387361546
2016-11-30,0.013136868694401893,,,,-8.517723365757124e-05
2016-12-01,0.012241650723964687,,,,-0.004252627592330513
2016-12-02,0.009798165034401993,,,,-0.004616547685937666
2016-12-05,0.010019296947340314,,,,-0.0026198033736312965
2016-12-06,0.008374430432573535,,,,-0.001079825766920936
2016-12-07,-0.009282136091339419,,,,-0.019499775281623166
2016-12-08,-0.021480826318309013,,,,0.001476737850630988
2016-12-09,-0.023794707040614996,,,,-0.0036080167818009767
2016-12-12,-0.022997395248402164,,,,0.0019755508411691824
2016-12-13,-0.020331912056163026,,,,0.00016643024989261568
2016-12-14,-0.012192579825879138,,,,0.008696201434702192
2016-12-15,-0.017426604770035797,,,,-0.003960691151636608
2016-12-16,-0.015877131158636038,,,,-0.0011701492439649547
2016-12-19,-0.014281130450970722,,,,-0.001989437429655627
2016-12-20,-0.012960626154900914,,,,-0.0018648395370682164
2016-12-21,-0.012688855175621863,,,,-0.0017223812447439701
2016-12-22,-0.009939840676197603,,,,0.00016758351907220082
2016-12-23,-0.007677035647493072,,,,-0.0008937791158741271
2016-12-27,-0.005730486303087437,,,,-0.0013089954396044157
2016-12-28,0.0006624735696599826,,,,0.003563239741636512
2016-12-29,-0.0034405816744828427,,,,-0.0014849281100600825
2016-12-30,-0.00012695985220943784,,,,-0.0006745941159325142
2017-01-03,0.002333435593611599,,,,-0.00018143357103103663
2017-01-04,0.0005330141543243988,,,,-0.00022322206761395125
2017-01-05,-0.0012901005911644392,,,,-0.00261128478919688
2017-01-06,0.00129627866458433,,,,-0.0012531095324590097
2017-01-09,-0.00762734722361573,,,,-0.011491823492615821
2017-01-10,-0.0065472184286954616,,,,-0.0004271725538995824
2017-01-11,-0.006442205490687386,,,,-0.002652535323026714
2017-01-12,-0.004415528327501667,,,,0.000126622972230081
2017-01-13,-0.006254931266007457,,,,-0.0042323501900352195
2017-01-17,-0.010450786756429402,,,,-0.006556559075017544
2017-01-18,-0.010796625650366952,,,,-0.0013368953097991423
2017-01-19,-0.00807440293588308,,,,0.0007588787533261074
2017-01-20,-0.0067082149466333035,,,,5.578556823127717e-05
2017-01-23,-0.006867957579924949,,,,-0.001835368798327762
2017-01-24,-0.002544983096903722,,,,0.0018483794039161547
2017-01-25,0.00034878588563973245,,,,0.0039645352761641245
2017-01-26,-0.005239613990495551,,,,-0.0018317535822568176
2017-01-27,-0.0029304623578556427,,,,-0.0017720830772417345
2017-01-30,-0.004025609854410403,,,,-0.00477440556735699
2017-01-31,-0.006058423822580705,,,,-0.001189342645562183
2017-02-01,-0.00572674591965662,,,,-0.0029829883608470525
2017-02-02,-0.008467757800322002,,,,-0.005841796235098791
2017-02-03,-0.005295294259489297,,,,0.0005825640524914216
2017-02-06,-0.008246599674174758,,,,-0.0005980895924097077
2017-02-07,-0.0074879991365273055,,,,-0.0021926130737330296
2017-02-08,-0.006863889136194193,,,,-0.002679226240238801
